,YEAR,cat,n
0,2006,commercial,380
1,2006,equipment,31
2,2006,other,78
3,2006,park,318
4,2006,sidewalk,27068
5,2007,commercial,4921
6,2007,equipment,170
7,2007,other,321
8,2007,park,184
9,2007,sidewalk,23231
10,2008,commercial,4079
11,2008,equipment,211
12,2008,park,458
13,2008,sidewalk,24552
14,2009,commercial,4481
15,2009,equipment,201
16,2009,other,7
17,2009,park,972
18,2009,sidewalk,24884
19,2010,commercial,4971
20,2010,equipment,148
21,2010,other,1
22,2010,park,309
23,2010,sidewalk,27957
24,2011,commercial,6287
25,2011,equipment,55
26,2011,other,4
27,2011,park,187
28,2011,sidewalk,32191
29,2012,commercial,4923
30,2012,equipment,71
31,2012,other,2
32,2012,park,538
33,2012,sidewalk,31402
34,2013,commercial,3171
35,2013,equipment,116
36,2013,park,608
37,2013,sidewalk,21188
38,2014,commercial,1727
39,2014,equipment,29
40,2014,park,472
41,2014,sidewalk,3845
42,2015,commercial,969
43,2015,equipment,104
44,2015,park,353
45,2015,sidewalk,1859
46,2016,commercial,314
47,2016,equipment,79
48,2016,park,236
49,2016,sidewalk,1074
50,2017,commercial,159
51,2017,equipment,27
52,2017,park,85
53,2017,sidewalk,610
54,2018,commercial,40
55,2018,other,5
56,2018,park,8
57,2018,sidewalk,304
58,2019,commercial,58
59,2019,equipment,1
60,2019,other,18
61,2019,park,14
62,2019,sidewalk,346
